Name,Basic,Advance,Address,Contact
"Allium
","An elevated plant-based restaurant focusing on ethical, local, creative food and libations.","The Allium is rooted in principles of radical humanism and co-empowerment, connected to substantive liberty and community socio-economic development. As a non-capitalist worker owned business, working-class members are proportionately rewarded for their efforts. Collective ownership over profits means the more you work the more you earn (and the less you work the less you earn).

Plant-based means The Allium cares for the planet and all life (human and animal). The restaurant does not exchange with giant corporate producers and sources locally as much as is possible, creating a more vibrant local economy with enhanced social capital networks and meaningful community connections.

The Allium aims to demonstrate an alternative form of work and economy, one where liberty and equality coexist to create more capable and empowered people, and more robust societies. The restaurant recognizes the current existence of deep structural economic issues, and rather than critique, The Allium seeks to create viable solutions outside of a linear economy and zero-sum formats, embracing and advocating diffused mutual aid. The Allium has no investors and no bosses. The Allium designed, built and now operates the business independently, free from the restraints of conventional ficing and usury debt forms that work to enervate rather than energize our communities. The restaurant recognizes ficial, but also intellectual and social capital as equally integral to the business realm.

The Allium's collective members are at the heart of our business, but so are the various community members and collaborators the restaurant interacts with daily. The Allium believes that they are capable of designing better structures today, that a better world for all is possible, and the restaurant hopes to demonstrate that, in-part, through their casual-fine dining, elevated plant-based restaurant.","211A 12th ave SW
Calgary, Alberta T2R 0G9
(403) 264-5416",info@theallium.ca
"Aroma Café Bar
","Aroma Café Bar focus on providing our community with fresh coffee, tasty home made style foods and a friendly customer service",Aroma provides a unique approach serving delicious homemade style meals that are customized to the requirements of their clients. They love to prepare personalized options so you can enjoy tasty options with a personal flavour. And people love that they offer a taste with a Mexican touch.,"cSpace King Edward 130, 1721 29 Ave. SW,
Calgary, Alberta T2T 6T7
(403) 585-5675
",admin@aromacafebar.ca
Bamboo Dumplings,"Authentic, delicious, healthy dumplings with premium quality ingredients
","Bamboo Dumplings is a northern style dumpling, made from a family recipe. Most dumplings on the market are considered more of a southern styled dumpling. From the time she was little, Carrie, Owner of Bamboo Dumplings, has loved to share delicious food with others. Carrie grew up with delicious food in the family and wants to provide the same experience with others!

To support the community, Bamboo Dumplings donates 5% of sales to Calgary Food Bank.","1502 27Ave SW
Calgary, Alberta T2T 1G4
(403)973-2882
",carrie.liu@bamboodumplings.com
"Bear Bait Honey","Family of beekeepers who sell raw, pure honey sourced from hives in the foothills south of Calgary.
","Bees are an important part of the environment; critical to plant pollination. Yet, their survival is threatened by disease, pesticides, parasites, and climate change. The beekeepers who look after these amazing insects rely mainly on honey sales to support their farming operations and buying honey is something we can all do to sustain bee populations and maintain the overall health of our agriculture industry.

Bear Bait Honey’s mission is to create awareness of bees and honey by selling pure honey and providing information about bees for their customers. They enjoy selling honey directly to their neighbours and through outlets that support local producers.

They are the Van Reekums: a family of four who together look after hives, extract and jar honey, and handle all other business details from marketing to distribution. It's a sticky business but honey is water soluble, easy to clean and delicious. Bear Bait Honey inspects every jar before selling it to make sure that only pure, raw, quality honey reaches their customers.","27 Harley Rd SW
Calgary, Alberta T2V 3K4
(403)616-9208
",hvanreekum@gmail.com
"Bessie
","Bessie helps natural farms reach local eaters, without markup and at scale.
","This is what is important to Bessie: Supporting Strong Farms Farms are the backbone of our province. With every purchase, you put more money in the hands of small producers so they can continue doing what they do best: grow natural food. Support Healthy Families You are feeding your family the best Alberta has to offer. They work with local producers who are committed to raising animals the right way: no added hormones, raised without antibiotics, and open pastures. Created Connected Communities With every meal you cook and a new cut of meat you try, you are getting to know farmers, fishermen, and other members of the Bessie Family. This is why Bessie is special: It's Personal.

A real person is behind every interaction you have with Bessie. Need recipe suggestions? Bessie team members will recommend one that we’ve actually tried. Unsure about your delivery date? Last minute changes? We are just one text message away and here to help. We're In This Together. You are the most important partner in changing our food for the better. Every purchase, piece of feedback, and plated meal that you share makes it possible for a local farmer to invest back into growing natural grass, raising healthier animals, and creating a better world. Never Dull. Your food should never get stale and boring. Work, family, and life is filled with excitement. Your food should be too. Bessie is reliably great every time—and we’re always finding ways to spice up your order with surprises. Bessie focuses on the food on the table so you can enjoy the people around it.","(587) 434-1669
",get@bessiebox.com
"Blush Lane Organic Market
","Organic grocery store rooted in communities and giving back
","Since 2004, Blush Lane Organic Market has been on a mission to help Albertans cultivate a healthy life, with love, freshness, integrity, and ecology to make a positive impact both locally and globally.

Each of Blush Lane's Calgary locations are rooted in their communities. The in-store points program encourages shoppers to either get a discount on their groceries, or donate to partner organizations like Highbanks Society and Inn from the Cold, which Blush Lane will then match.

Blush Lane strives to make itself a ""destination"" for Calgarians, by carrying unique niche products.","Calgary Farmer's Market -- 
510 77 Avenue SE 
Calgary, AB T2H 1C3
403-668-0503
#3000 -- 10 Aspen Stone Blvd. SW
Calgary, AB T3H 0K3
403-210-1247
617 Meredith Road NE
Calgary, AB T2E 2W5
587-393-4041
2044 33 Avenue SW
Calgary, AB T2T 1Z4
(587) 535-6713
",info@blushlane.com
"CAKEify Studio
","CAKEify Studio is a space where cake decorating has no boundaries, where collaboration and community is key.","CAKEify Studio is a Do-It-Yourself and custom, cake decorating studio. They simplify the cake decorating process by providing various items you might need from the in-house baked cake, in-house made buttercream icing, fondant, tools and embellishments to decorate a personalized cake. A collaborative of local cake artists bring their unique styles to the table working with customers to develop the customers’ cake vision, and also apply their skills to the custom cake orders. In addition to being a nut-free aware facility, they can host different types of events such as birthday parties, date night, baby showers, walk-ins, team building and much more.

At CAKEify Studio they believe in great experiences, a positive learning environment, sharing knowledge and giving the customer the option of contributing to the best part of a cake, the decorating! The concept of CAKEify originated from the owner’s personal experience. As a mother, foodie, baker and cake decorator, Debbie felt there was a need for a place like this. Where one could pop-in to grab only the things they needed, get quality cake and icing, have someone personally help with an idea, gather together with friends to create something artsy and delicious, all in one place. The studio was formed and run by a born and raised Calgarian and employs local cake artists that are looking to grow their name in the cake artist world. Supporting 'local' through ingredients, supplies, individuals, organizations and other small businesses is important and will continue to be an area of focus and growth.","607 Meredith Rd NE
Calgary, Alberta T2E 2W5
(403) 803-0791",office@cakeifystudio.com
"Chef's Farmer
","Distributing small-scale farm product to local restaurants and grocers.","Chef’s Farmer strengthens the local food supply and exposes citizens to the wonderful work of local farmers. The business focuses on producers who build healthy soil, which in turn, creates flavourful and nutritious food.

By connecting restaurants to local farmers, Chef’s Farmer increases exposure of local farm movements. In addition, Chef’s Farmer helps build resiliency by decreasing the volume of imported foods. Businesses who use Chef’s Farmer products can showcase the greatness of their local cuisine and, with integrity, show how they support local food and producers. ","1721 20 Ave NW
Calgary, Alberta T2M 1H2
(587)700-0378",chefsfarmer@gmail.com
"Confluence Distilling
","One of Calgary's original, small-batch Distilleries handcrafting premium spirits to help connect the community together
","For thousands of years, the confluence has been a significant gathering place; It is where many world views have collided, forever changing the people and the place. The Bow and the Elbow river confluence is no exception, and laid down the foundation for modern-day Calgary. Confluence Distilling tale began in 2007 in a backyard with a 10 lb. bag of Russet potatoes, boiling water, bakers yeast and some crossed fingers. This marked the beginning of Ross’s journey into the world of distilling. Although the first (few) batches didn’t turn out too well, he was steadfast in his desire to craft his own spirits. In November 2018 Confluence Distilling opened its doors to the public.

The original team is made up of Ross (our fearless President and founder), Jamie (sales expert, growth manager and connection to the outside world) and Pheelan (the she amongst the he’s, the head taster and co-founder). All of them brought together through the love and allure of liquor. The story of Confluence isn’t only entrenched in the love of spirits and science—it’s also about a desire to create better communities and culture. Their spirits are a means for Albertans to connect with local culture, art, cocktails, and of course, each other. Their vision is to create better lives by making the good times last. Located in the inner-city district of Manchester, Confluence Distilling is proud to create premium handcrafted spirits, with locally sourced ingredients from family farmers.

When possible they handpick botanicals from the Albertan wilds. All the bottle art are original pieces by Albertan artists, designers and tattoo artists. For their business, craft means to source the majority of our ingredients locally, and hand-make every bottle. That’s why you might find every batch has its own unique characteristics, with the same delicious flavours. There might be spelling errors, or an upside-down sticker, but that’s how you know we are working hard until we’re cross-eyed. The next time you have a sip, we hope you are as excited as they are about the unique flavours, the local art and the passion behind every bottle. And remember, our spirits are best paired with friends.","507 36 AVE SE
Calgary, Alberta T2G 1W5
(403) 521-4738",jamie@confluencedistilling.ca
"Culinaire Magazine
","Culinaire is Alberta's food & beverage magazine, focusing on local people and dining out, dining in, wine, beer, and spirits.
","Culinaire was created and founded by Linda Garson, Editor-in-Chief and Publisher, and she heads the tiny trio team of Managing Editor Tom Firth, and Multimedia Editor Keane Straub. Culinaire works with many freelance writers, as well as photographers and designers.

Since its launch in 2012, Culinaire Magazine has quickly emerged as Alberta’s leading, and most widely read food and beverage-focused special interest or lifestyle publication. With a controlled distribution, Culinaire can be found free to pick up in food and beverage outlets of businesses who share a passion for championing the best that Alberta food and drink has to offer. Culinaire is tempting tastebuds and engaging appetites.

In each of the ten issues a year there are articles that tell the stories and connect readers with locally-focused food and beverage content celebrating the best of Alberta. From producer stories, to chef’s tips, along with beverage trends, recipes, and recommendations, every issue of Culinaire is packed with content that speaks to readers’ interests.","(403) 870-9802
",linda@culinairemagazine.ca
"Dashing Dishes
","Healthy, quick, delicious and affordable meals that are ready-to-cook and enjoy with your family.","Dashing Dishes believes cooking at home and sharing meals with loved ones is an important component to health and well-being. But, as busy parents themselves, they understand how challenging it can be to provide a healthy, kid-approved meal at the end of a busy day. Dashing Dishes does the shopping, chopping and prep so that dinner can be an exciting, convenient and relaxing daily occasion.

Proudly family-owned and –operated, Dashing Dishes is a living wage employer that works with local suppliers, farmers and butchers to ensure their meals are made with ingredients you can feel good about serving to your family.

Born-and-raised Calgarians, owners Brad and Nydia are committed to collaborating with and supporting small local businesses and charities, including The Calgary Women’s Emergency Shelter, The Brenda Strafford Centre and Calgary Pregcy Care Centre.","#9 2820 Centre Ave. NE
Calgary, Alberta T2A 7P5
(403) 471-1395",hello@dashingdishes.com
"Deane House
","Seasonal dining at the confluence of then and now","The historic Deane House restaurant at Fort Calgary was procured by the River Cafe Group in 2016.

The Deane House mission is to provide exceptional hospitality and an extraordinary dining experience with peak ingredients of the season, while supporting local farmers, foragers and producers and incorporating the most sustainable day to day practices operationally.","806 9 Avenue SE
Calgary, AB T2G 0S2
(403) 264-0595",info@deanehouse.com
"Devour Catering
","Heartfelt celebrations and catering services
","Founded in 1997, Devour Catering espouses heartfelt intention behind every event, to make a poigt connection with guests.

Devour Catering positions itself as a “celebration company,” valuing service quality in addition to good food. Some of founder J’Val’s favourite jobs have been recreating wedding dinners for a couple’s 50th wedding anniversary, and the Dinner on the Set fundraiser with the Calgary Opera, serving a menu on the stage of the Southern Alberta Jubilee Auditorium inspired by that season’s performance.","538 42 AVENUE SE
Calgary, AB T2G 1Y6
403-242-0046",DEVOUR@DEVOURCATERING.COM
"Eat For Life By Marsha
","Eat For Life By Marsha, creates delicious, nutritious wholesome foods that support a healthier, happier you
","Values: - Preventative Health – to effectively impact locally and globally. - Enthusiasm – to have enjoyment, engagement, and empowerment in our work and those we serve. - Learning Excellence – to continually pursue knowledge and keeping with innovation. - Integrity – to have honesty and respect for all individuals. Who We Serve: The people we serve directly are those employees and family members who have, or are at high risk for nutritional deficiencies, gluten intolerance and/or dairy intolerance. The Problem We Are Solving: Unhealthy eating habits that is related to nutritional deficiencies and cardiovascular diseases. What We Offer: Information solutions and support.",(587) 892-8923,eatforlifebymarsha@gmail.com
